ID	漢字	部首	画数	音読	訓読	級
2420500	困	囗	7	[コン]	[[こま,る]]	5
1846000	激	氵	16	[ゲキ]	[[はげ,しい]]	5
993400	株	木	10	[]	[[かぶ]]	5
6802600	訳	訁	11	[ヤク]	[[わけ]]	5
5824500	秘	禾	10	[ヒ]	[[ひ,める]]	5
5009100	敵	攵	15	[テキ]	[[かたき]]	5
4326900	臓	月	19	[ゾウ]	[]	5
3750300	推	扌	11	[スイ]	[[お,す]]	5
3105000	宗	宀	8	[シュウ,ソウ]	[]	5
2462100	砂	石	9	[サ,シャ]	[[すな]]	5
1857100	穴	穴	5	[ケツ]	[[あな]]	5
1012200	干	干	3	[カン]	[[ほ,す],[ひ,る]]	5
6869100	郵	阝	11	[ユウ]	[]	5
5936400	俵	亻	10	[ヒョウ]	[[たわら]]	5
5059000	展	尸	10	[テン]	[]	5
4377600	存	子	6	[ソン,ゾン]	[]	5
3811900	寸	寸	3	[スン]	[]	5
3131300	就	尢	12	[シュウ,ジュ]	[[つ,く],[つ,ける]]	5
2483300	座	广	10	[ザ]	[[すわ,る]]	5
1902500	券	刀	8	[ケン]	[]	5
1042200	巻	㔾	9	[カン]	[[ま,く],[まき]]	5
6892500	優	亻	17	[ユウ]	[[やさ,しい],[すぐ,れる]]	5
6116000	腹	月	13	[フク]	[[はら]]	5
5183500	討	訁	10	[トウ]	[[う,つ]]	5
4383300	尊	寸	12	[ソン]	[[たっと,い],[とうと,い],[たっと,ぶ],[とうと,ぶ]]	5
3895300	盛	皿	11	[セイ]	[[も,る],[さか,る],[さか,ん]]	5
3135100	衆	血	12	[シュウ,シュ]	[]	5
2510000	済	氵	11	[サイ]	[[す,む],[す,ます]]	5
1949500	絹	糸	13	[ケン]	[[きぬ]]	5
1048700	看	目	9	[カン]	[]	5
6918300	預	頁	13	[ヨ]	[[あず,ける],[あず,かる]]	5
6172000	奮	大	16	[フン]	[[ふる,う]]	5
5171600	党	儿	10	[トウ]	[]	5
4446200	退	辶	9	[タイ]	[[しりぞ,く],[しりぞ,ける]]	5
3908700	聖	耳	13	[セイ]	[]	5
3180400	従	彳	10	[ジュウ,ショウ]	[[したが,う],[したが,える]]	5
2527700	裁	衣	12	[サイ]	[[た,つ],[さば,く]]	5
1958200	権	木	15	[ケン,ゴン]	[]	5
1134900	簡	竹	18	[カン]	[]	5
3603100	侵	亻	9	[シン]	[[おか,す]]	4
3187800	獣	犬	16	[ジュウ]	[[けもの]]	4
2800900	紫	糸	12	[シ]	[[むらさき]]	4
2285900	項	頁	12	[コウ]	[]	4
1913700	兼	八	10	[ケン]	[[か,ねる]]	4
1496000	況	氵	8	[キョウ]	[]	4
1277400	輝	車	15	[キ]	[[かがや,く]]	4
902300	較	車	13	[カク]	[]	4
459000	援	扌	12	[エン]	[]	4
50200	握	扌	12	[アク]	[[にぎ,る]]	4
3615600	振	扌	10	[シン]	[[ふ,る],[ふ,るう],[ふ,れる]]	4
